sentitweet,themetweet,Date,Number,searchterm,Theme
-10,0,2015-10-01,1,Canada,Climate
-8,0,2015-10-20,1,Canada,Climate
-6,0,2015-09-28,1,Canada,Climate
-6,0,2015-10-04,2,Canada,Climate
-6,0,2015-10-07,1,Canada,Climate
-6,0,2015-10-14,1,Canada,Climate
-6,1,2015-10-04,1,Canada,Climate
-5,0,2015-09-30,1,Canada,Climate
-5,0,2015-10-02,1,Canada,Climate
-5,0,2015-10-06,8,Canada,Climate
-5,0,2015-10-07,1,Canada,Climate
-5,0,2015-10-10,1,Canada,Climate
-5,0,2015-10-13,1,Canada,Climate
-5,0,2015-10-18,3,Canada,Climate
-5,0,2015-10-25,2,Canada,Climate
-5,0,2015-10-29,1,Canada,Climate
-5,1,2015-10-04,1,Canada,Climate
-5,1,2015-10-28,1,Canada,Climate
-4,0,2015-09-29,2,Canada,Climate
-4,0,2015-09-30,1,Canada,Climate
-4,0,2015-10-01,3,Canada,Climate
-4,0,2015-10-02,1,Canada,Climate
-4,0,2015-10-03,1,Canada,Climate
-4,0,2015-10-04,1,Canada,Climate
-4,0,2015-10-06,1,Canada,Climate
-4,0,2015-10-07,6,Canada,Climate
-4,0,2015-10-08,6,Canada,Climate
-4,0,2015-10-09,3,Canada,Climate
-4,0,2015-10-11,1,Canada,Climate
-4,0,2015-10-12,3,Canada,Climate
-4,0,2015-10-13,4,Canada,Climate
-4,0,2015-10-14,2,Canada,Climate
-4,0,2015-10-15,3,Canada,Climate
-4,0,2015-10-16,1,Canada,Climate
-4,0,2015-10-17,6,Canada,Climate
-4,0,2015-10-18,2,Canada,Climate
-4,0,2015-10-19,1,Canada,Climate
-4,0,2015-10-20,3,Canada,Climate
-4,0,2015-10-21,3,Canada,Climate
-4,0,2015-10-22,2,Canada,Climate
-4,0,2015-10-23,2,Canada,Climate
-4,0,2015-10-24,2,Canada,Climate
-4,0,2015-10-25,2,Canada,Climate
-4,0,2015-10-26,2,Canada,Climate
-4,0,2015-10-28,1,Canada,Climate
-4,0,2015-10-29,5,Canada,Climate
-4,0,2015-10-30,4,Canada,Climate
-4,0,2015-10-31,1,Canada,Climate
-4,1,2015-10-04,5,Canada,Climate
-4,1,2015-10-15,1,Canada,Climate
-4,1,2015-10-22,1,Canada,Climate
-4,1,2015-10-28,3,Canada,Climate
-3,0,2015-09-28,6,Canada,Climate
-3,0,2015-09-29,30,Canada,Climate
-3,0,2015-09-30,1,Canada,Climate
-3,0,2015-10-01,7,Canada,Climate
-3,0,2015-10-02,11,Canada,Climate
-3,0,2015-10-03,6,Canada,Climate
-3,0,2015-10-04,14,Canada,Climate
-3,0,2015-10-05,23,Canada,Climate
-3,0,2015-10-06,5,Canada,Climate
-3,0,2015-10-07,12,Canada,Climate
-3,0,2015-10-08,15,Canada,Climate
-3,0,2015-10-09,24,Canada,Climate
-3,0,2015-10-10,17,Canada,Climate
-3,0,2015-10-11,10,Canada,Climate
-3,0,2015-10-12,14,Canada,Climate
-3,0,2015-10-13,22,Canada,Climate
-3,0,2015-10-14,10,Canada,Climate
-3,0,2015-10-15,31,Canada,Climate
-3,0,2015-10-16,12,Canada,Climate
-3,0,2015-10-17,18,Canada,Climate
-3,0,2015-10-18,26,Canada,Climate
-3,0,2015-10-19,9,Canada,Climate
-3,0,2015-10-20,69,Canada,Climate
-3,0,2015-10-21,42,Canada,Climate
